Date,Open,High,Low,Close,Adj Close,Volume
11/9/2020,74.80,75.28,68.88,69.76,69.54,24160338.00
11/10/2020,70.56,72.80,70.00,71.84,71.61,20591700.00
11/11/2020,72.88,72.96,70.64,71.12,70.89,10930000.00
11/12/2020,70.08,70.96,69.36,70.08,69.86,9939800.00
11/13/2020,70.88,74.00,70.80,74.00,73.76,16247538.00
11/16/2020,76.88,77.12,75.36,76.56,76.32,14846500.00
11/17/2020,75.60,77.92,74.64,77.44,77.19,11293575.00
11/18/2020,79.76,80.40,77.84,77.84,77.59,18608225.00
11/19/2020,76.96,78.08,76.08,77.28,77.03,10897188.00
11/20/2020,77.12,78.64,76.72,78.08,77.83,10016938.00
11/23/2020,78.88,82.16,78.88,80.56,80.30,13524663.00
11/24/2020,85.68,86.80,83.20,83.60,83.33,22036100.00
11/25/2020,84.24,84.48,82.72,84.00,83.73,13734113.00
11/27/2020,84.40,84.48,82.48,83.20,82.93,6769350.00
11/30/2020,83.12,83.12,79.68,81.44,81.18,15638013.00
12/1/2020,82.64,83.84,80.88,81.20,80.94,10845888.00
12/2/2020,80.64,83.84,80.08,83.44,83.17,9654450.00
12/3/2020,83.20,85.60,83.12,84.80,84.53,11431613.00
12/4/2020,85.36,87.44,84.08,87.04,86.76,16877613.00
12/7/2020,87.12,88.80,86.08,86.88,86.60,12175500.00
12/8/2020,86.56,88.24,86.32,87.68,87.40,11672288.00
12/9/2020,88.00,91.92,88.00,91.12,90.83,15766938.00
12/10/2020,88.64,91.84,88.48,90.56,90.27,11958950.00
12/11/2020,90.24,91.28,88.16,89.28,89.00,11123213.00
12/14/2020,90.16,90.80,86.32,86.64,86.36,9914688.00
12/15/2020,87.60,89.20,85.20,88.88,88.60,10826738.00
12/16/2020,89.04,89.20,87.20,87.44,87.16,7351975.00
12/17/2020,87.52,87.92,86.40,87.04,86.76,7805750.00
12/18/2020,86.24,88.96,85.92,86.48,86.28,14344200.00
12/21/2020,83.76,86.96,82.88,86.16,85.96,10727338.00
12/22/2020,85.68,86.08,83.92,84.88,84.69,11125938.00
12/23/2020,85.44,87.84,84.96,86.88,86.68,7563063.00
12/24/2020,86.80,86.80,84.96,85.20,85.01,3756213.00
12/28/2020,85.60,86.24,84.64,85.12,84.93,6724588.00
12/29/2020,85.28,86.16,84.32,84.48,84.29,6629488.00
12/30/2020,84.64,86.80,84.40,85.68,85.49,6327625.00
12/31/2020,85.20,86.64,84.64,86.40,86.20,5962788.00
1/4/2021,87.12,87.20,83.20,83.76,83.57,9993688.00
1/5/2021,83.44,87.04,83.36,86.16,85.96,10462538.00
1/6/2021,86.64,92.96,86.64,90.88,90.67,16448075.00
1/7/2021,92.48,92.56,89.92,90.16,89.96,9411225.00
1/8/2021,90.32,91.52,89.28,90.72,90.51,9089963.00
1/11/2021,88.88,92.24,88.48,91.60,91.39,8406700.00
1/12/2021,92.08,95.28,91.28,94.24,94.03,11429913.00
1/13/2021,94.24,94.56,92.16,92.56,92.35,6714200.00
1/14/2021,92.88,93.84,92.64,93.28,93.07,7401188.00
1/15/2021,92.80,92.80,90.00,90.64,90.43,9201188.00
1/19/2021,91.84,93.20,91.20,91.44,91.23,7937425.00
1/20/2021,92.00,92.00,90.40,91.12,90.91,7376988.00
1/21/2021,91.20,91.44,88.56,88.56,88.36,8200338.00
1/22/2021,87.76,89.44,87.20,88.88,88.68,6614925.00
1/25/2021,89.12,89.20,86.16,87.92,87.72,11502613.00
1/26/2021,96.24,97.84,89.60,90.32,90.11,26475425.00
1/27/2021,88.64,92.48,85.12,91.04,90.83,18679988.00
1/28/2021,91.28,91.76,88.56,88.72,88.52,11762413.00
1/29/2021,88.00,89.92,85.36,85.44,85.25,13657350.00
2/1/2021,86.88,88.00,85.12,85.92,85.72,8335725.00
2/2/2021,87.04,90.80,86.72,89.92,89.72,10558238.00
2/3/2021,89.92,90.40,88.56,89.60,89.40,6776850.00
2/4/2021,89.84,92.00,89.52,91.60,91.39,8345975.00
2/5/2021,92.08,92.40,90.56,91.20,90.99,6477300.00
2/8/2021,91.76,93.20,91.28,92.88,92.67,5306813.00
2/9/2021,92.48,92.80,91.28,92.32,92.11,6592288.00
2/10/2021,92.72,92.72,91.04,91.20,90.99,5694988.00
2/11/2021,91.12,91.76,89.52,91.68,91.47,6478650.00
2/12/2021,91.28,93.92,91.04,93.84,93.63,7304963.00
2/16/2021,94.56,95.84,94.24,95.76,95.54,7539000.00
2/17/2021,94.72,95.60,94.08,94.88,94.66,5367513.00
