date,SOURCE-SITE,microbox-gist-2,microbox-um-1,microbox-chula-1,microbox-nuol-1,microbox-vnu-1,microbox-itb-1,microbox-ptit-1
2020-09-01,Visibility-Center-GIST,0.31,73.81,92.03,121.32,222.31,83.72,223.73
2020-09-02,Visibility-Center-GIST,0.31,74.31,91.36,120.99,222.61,83.47,224.03
2020-09-03,Visibility-Center-GIST,0.31,75.19,126.35,113.63,220.08,85.47,223.69
2020-09-04,Visibility-Center-GIST,0.32,74.28,90.92,130.59,223.71,83.54,224.17
2020-09-05,Visibility-Center-GIST,0.32,74.26,89.98,108.61,218.58,83.57,223.1
2020-09-06,Visibility-Center-GIST,0.41,74.27,64.98,113.61,221.47,83.31,221.47
2020-09-07,Visibility-Center-GIST,0.31,74.27,90.31,114.1,219.83,83.63,222.56
2020-09-08,Visibility-Center-GIST,0.31,74.26,88.4,122.13,220.06,82.83,222.73
2020-09-09,Visibility-Center-GIST,0.3,74.26,90.27,110.76,215.3,82.97,219.37
2020-09-10,Visibility-Center-GIST,0.3,74.27,89.83,112.39,217.14,82.62,222.69
2020-09-11,Visibility-Center-GIST,0.31,74.26,89.87,107.65,223.24,83.91,220.79
2020-09-12,Visibility-Center-GIST,0.29,74.27,90.34,104.62,219.94,60.2,221.88
2020-09-13,Visibility-Center-GIST,0.3,74.32,90.02,101.45,223.22,82.5,217.39
2020-09-14,Visibility-Center-GIST,0.3,74.31,90,110.64,223.17,82.66,222.01
2020-09-15,Visibility-Center-GIST,0.29,74.36,91.85,108.18,223.72,82.21,222.2
2020-09-16,Visibility-Center-GIST,0.28,74.47,91.42,99.02,224.03,82.56,219.74
2020-09-17,Visibility-Center-GIST,0.28,74.32,90.39,108.12,222.74,82.28,222.7
2020-09-18,Visibility-Center-GIST,0.28,74.32,94.61,106.02,222.97,83.64,221.22
2020-09-19,Visibility-Center-GIST,0.28,74.3,89.33,102.28,221.34,84.64,219.6
2020-09-20,Visibility-Center-GIST,0.29,74.33,94.98,134.58,222.71,82.38,219.33
2020-09-21,Visibility-Center-GIST,0.28,74.31,90.18,107.53,223.22,82.12,220.22
2020-09-22,Visibility-Center-GIST,0.28,74.31,89.81,104.63,222.85,82.75,218.71
2020-09-23,Visibility-Center-GIST,0.29,74.34,88.91,108.14,223.4,82.12,220.28
2020-09-24,Visibility-Center-GIST,0.31,74.39,89.33,102.4,222.37,82.1,220.38
2020-09-25,Visibility-Center-GIST,0.31,74.43,89.53,84.65,223.4,82.3,219.28
2020-09-26,Visibility-Center-GIST,0.3,73.89,90.94,115,224.48,82.3,221.06
2020-09-27,Visibility-Center-GIST,0.29,74.28,90.33,81.13,171.62,219.48,74.21
2020-09-28,Visibility-Center-GIST,0.3,74.31,55.36,105.67,193.72,229.92,74.3
2020-09-29,Visibility-Center-GIST,0.3,74.4,89.93,108.31,223.75,82.47,220.29
2020-09-30,Visibility-Center-GIST,0.3,74.64,80.75,142.78,222.12,84.46,219.68
