Date,SOURCE-SITE,microbox-gist-1,microbox-um-1,microbox-chula-1,microbox-ucsy-1,microbox-ucsm-1,microbox-itb-1,microbox-monash-1,microbox-ptit-1
3/26/2019,Visibility-Center,0.00,0.74,63.99,74.26,83.58,86.67,19.80,54.54
3/28/2019,Visibility-Center,0.00,0.74,62.04,73.93,83.56,86.98,19.80,83.80
3/29/2019,Visibility-Center,0.25,74.30,58.49,73.93,83.55,86.78,42.27,42.49
3/29/2019,Visibility-Center,0.32,74.30,57.16,74.38,83.54,86.78,42.27,50.46
4/2/2019,Visibility-Center,0.29,74.30,136.50,59.50,150.50,53.19,41.46,86.58
4/2/2019,Visibility-Center,0.29,74.30,136.50,59.50,150.50,57.76,41.49,86.58
4/2/2019,Visibility-Center,0.29,74.30,136.50,59.50,150.50,60.40,42.27,86.58
4/2/2019,Visibility-Center,0.31,74.30,136.67,54.95,147.67,63.62,42.37,87.93
4/2/2019,Visibility-Center,0.31,74.30,136.67,55.63,147.67,71.10,42.91,87.93
4/2/2019,Visibility-Center,0.31,74.30,136.67,59.50,147.67,71.63,43.03,87.93
4/2/2019,Visibility-Center,0.31,74.30,136.67,59.50,147.67,72.13,44.67,87.93
4/2/2019,Visibility-Center,0.31,74.30,136.67,59.50,147.67,73.30,44.84,87.93
4/2/2019,Visibility-Center,0.34,74.30,137.00,59.94,148.00,73.79,45.15,88.10
4/2/2019,Visibility-Center,0.34,74.30,137.00,60.12,148.00,73.99,45.74,88.10
4/2/2019,Visibility-Center,0.34,74.30,137.00,60.13,148.00,74.18,47.19,88.10
4/2/2019,Visibility-Center,0.34,74.30,137.00,60.84,148.00,74.18,47.47,88.10
4/2/2019,Visibility-Center,0.34,74.30,137.00,61.07,148.00,74.18,47.60,88.10
4/2/2019,Visibility-Center,0.34,74.30,137.00,61.44,148.00,0.83,48.33,88.10
4/3/2019,Visibility-Center,0.24,74.27,141.57,238.04,161.54,51.86,37.88,82.79
4/3/2019,Visibility-Center,0.29,74.28,138.49,249.44,158.48,52.13,37.91,82.82
4/4/2019,Visibility-Center,0.24,74.27,142.48,259.17,136.02,47.47,19.80,82.37
4/4/2019,Visibility-Center,0.29,74.29,138.49,263.08,144.26,50.67,35.63,82.38
4/12/2019,Visibility-Center,0.27,74.28,149.44,313.31,144.19,45.55,19.80,82.07
4/12/2019,Visibility-Center,0.21,74.29,151.02,305.90,142.31,50.69,37.24,82.65
4/15/2019,Visibility-Center,0.27,73.20,153.19,365.24,163.97,96.35,19.80,81.88
4/15/2019,Visibility-Center,0.23,74.29,155.26,355.82,160.63,96.32,19.80,81.96
4/16/2019,Visibility-Center,0.23,74.34,152.91,355.08,152.99,174.17,19.80,82.12
4/16/2019,Visibility-Center,0.28,74.37,150.15,365.04,151.10,174.12,19.80,82.13
4/25/2019,Visibility-Center,0.29,74.27,146.47,348.12,128.28,175.82,39.15,83.11
4/25/2019,Visibility-Center,0.24,74.32,150.08,340.75,125.90,170.89,40.06,83.23
4/27/2019,Visibility-Center,0.28,74.23,147.82,355.03,147.21,170.63,40.35,85.95
