Date,microbox-gist-1,microbox-um-1,microbox-chula-1,microbox-ucsy-1,microbox-ucsm-1,microbox-itb-1,microbox-monash-1,microbox-ptit-1
4/2/2019,0.31,57.95,102.96,66.56,119.36,79.73,39.7,74.64
4/2/2019,0.31,66.13,111.08,65.14,126.52,75.37,42.87,78.37
4/2/2019,0.32,74.3,119.37,63.53,133.64,73.85,45.65,78.83
4/2/2019,0.32,74.3,128.2,61.88,140.77,72.22,45.92,82.99
4/2/2019,0.33,74.3,136.89,60.23,147.89,70.54,46,88.04
4/2/2019,0.33,74.3,136.85,59.62,147.85,70.2,45.48,88.02
4/2/2019,0.32,74.3,136.82,58.97,147.82,69.02,44.91,88.01
4/2/2019,0.32,74.3,136.76,58.9,148.09,67.49,44.37,87.84
4/2/2019,0.31,74.3,136.71,58.83,148.37,65.69,43.9,87.67
4/3/2019,0.31,74.3,136.65,58.78,148.65,63.4,43.49,87.5
4/3/2019,0.3,74.3,136.82,79.67,149.81,63.92,42.33,86.91
4/4/2019,0.29,74.29,137.36,99.51,151.36,61.54,41.55,86.34
4/4/2019,0.29,74.29,137.56,122.13,150.98,59.15,40.55,85.72
4/12/2019,0.28,74.29,138.21,144.31,149.68,56.47,37.97,85.11
4/12/2019,0.27,74.29,139.8,172.12,149.09,54.2,37.34,84.52
4/15/2019,0.27,74.29,141.22,200.83,148.7,52.19,34.83,83.87
4/15/2019,0.26,74.29,143.31,233.75,149.83,56.18,32.33,83.36
4/16/2019,0.26,74.16,145.16,267.72,151.32,60.47,29.92,82.83
4/16/2019,0.26,74.17,146.68,301.67,151.39,73.91,27.52,82.34
4/25/2019,0.25,74.18,148.28,313.41,150.78,87.47,25.51,82.26
4/25/2019,0.25,74.18,149.22,324.82,146.82,100.69,25.75,82.31
4/27/2019,0.25,74.18,150.11,334.27,145.04,114.6,26.14,82.39
4/27/2019,0.25,74.18,150.84,344.42,146.32,127.64,28.54,82.8
4/29/2019,0.26,74.17,150.49,349.88,146.87,140.97,28.89,83.17
4/29/2019,0.26,74.11,150.18,322.68,149.74,155.04,30.74,83.22
4/30/2019,0.26,74.05,149.52,290.37,149.71,163.46,32.51,83.28
4/30/2019,0.25,74.12,149.26,262.15,147.04,172.07,32.51,82.47
4/30/2019,0.25,74.05,149.33,233.96,145.8,172.04,32.51,81.63
4/30/2019,0.25,73.99,149.09,206.88,144.34,172.01,32.51,80.79
4/30/2019,0.25,73.92,149.17,181.39,145.9,172.34,30.26,79.84
4/30/2019,0.25,73.86,149.28,154.89,147.05,172.38,26,78.88
4/30/2019,0.25,73.81,149.1,128.11,146.06,162.53,23.59,77.6
4/30/2019,0.25,73.75,149.06,100.84,145.1,152.03,21.19,76.33
5/1/2019,0.25,73.75,149.15,105.4,141.6,141.37,19.02,75.44
5/1/2019,0.25,73.75,149.39,113.54,133.02,131.75,28.22,69.1
5/1/2019,0.25,73.75,149.47,116.53,126.7,121.87,34.42,63.64
5/1/2019,0.26,73.74,149.25,119.62,120.38,111.99,40.63,57.96
5/2/2019,0.26,73.74,149.03,122.71,114.06,102,46.84,52.27
5/2/2019,0.26,73.74,149.1,124.32,107.74,92.21,53.4,47.38
5/2/2019,0.26,73.75,149.55,126.13,101.56,77.69,57.8,42.48
5/3/2019,0.26,73.77,149.74,128.47,95.39,78.66,64.01,37.19
5/3/2019,0.25,73.79,150.17,130.7,89.22,79.71,70.69,32.29
5/3/2019,0.25,73.81,150.59,132.93,83.05,80.75,77.56,27.27
5/3/2019,0.25,73.82,150.56,131.98,83.04,80.67,72.78,27.7
5/3/2019,0.25,73.82,150.27,131.35,83.04,80.74,73.14,27.87
5/3/2019,0.25,73.83,150.29,130.62,83.04,80.8,73.49,28.12
5/4/2019,0.25,73.84,150.31,129.89,83.04,80.92,73.48,28.36
5/4/2019,0.25,73.8,150.28,134.47,83.08,81.09,69.32,31.17
