Date,microbox-gist-1,microbox-um-1,microbox-chula-1,microbox-ucsy-1,microbox-ucsm-1,microbox-itb-1,microbox-monash-1,microbox-ptit-1
3/26/19,0.0033,0.743,63.99,74.26,83.58,86.67,19.8,54.54
3/28/19,0.0025,0.743,62.04,73.93,83.56,86.98,19.8,83.8
3/29/19,0.25,74.3,58.49,3/13/00,83.55,86.78,42.27,42.49
3/29/19,0.32,74.3,57.16,74.38,83.54,86.78,42.27,50.46
4/2/19,0.29,74.3,136.5,59.5,150.5,53.19,41.46,86.58
4/2/19,0.29,74.3,136.5,59.5,150.5,57.76,41.49,86.58
4/2/19,0.29,74.3,136.5,59.5,150.5,60.4,42.27,86.58
4/2/19,0.31,74.3,136.67,54.95,147.67,63.62,42.37,87.93
4/2/19,0.31,74.3,136.67,55.63,147.67,71.1,42.91,87.93
4/2/19,0.31,74.3,136.67,59.5,147.67,71.63,43.03,87.93
4/2/19,0.31,74.3,136.67,59.5,147.67,72.13,44.67,87.93
4/2/19,0.31,74.3,136.67,59.5,147.67,73.3,44.84,87.93
4/2/19,0.34,74.3,137,59.94,148,73.79,45.15,88.1
4/2/19,0.34,74.3,137,60.12,148,73.99,45.74,88.1
4/2/19,0.34,74.3,137,60.13,148,74.18,47.19,88.1
4/2/19,0.34,74.3,137,60.84,148,74.18,47.47,88.1
4/2/19,0.34,74.3,137,61.07,148,74.18,47.6,88.1
4/2/19,0.34,74.3,137,61.44,148,0.83,48.33,88.1
4/3/19,0.24,74.27,141.57,238.04,161.54,51.86,37.88,82.79
4/3/19,0.29,74.28,138.49,249.44,158.48,52.13,37.91,82.82
4/4/19,0.24,74.27,142.48,259.17,136.02,47.47,19.8,82.37
4/4/19,0.29,74.29,138.49,263.08,144.26,50.67,35.63,82.38
4/12/19,0.27,74.28,149.44,313.31,144.19,45.55,19.8,82.07
4/12/19,0.21,74.29,151.02,305.9,142.31,50.69,37.24,82.65
4/15/19,0.27,73.2,153.19,365.24,163.97,96.35,19.8,81.88
4/15/19,0.23,74.29,155.26,355.82,160.63,96.32,19.8,81.96
4/16/19,0.23,74.34,152.91,355.08,152.99,174.17,19.8,82.12
4/16/19,0.28,74.37,150.15,365.04,151.1,174.12,19.8,82.13
4/25/19,0.29,74.27,146.47,348.12,128.28,175.82,39.15,83.11
4/25/19,0.24,74.32,150.08,340.75,125.9,170.89,40.06,83.23
4/27/19,0.28,74.23,147.82,355.03,147.21,170.63,40.35,85.95
4/27/19,0.23,74.24,149.08,350.53,147.53,164.89,41.43,86.05
4/29/19,0.23,73.77,149.31,64.96,160.36,172.15,35.76,82.48
4/29/19,0.27,73.73,146.69,68.55,170.03,172.15,36.48,82.53
4/30/19,0.28,73.72,147.45,109.58,138.59,176.2,0.76,74.52
4/30/19,0.28,73.72,147.45,109.58,138.59,176.2,16.98,74.52
4/30/19,0.28,73.72,147.45,109.58,138.59,176.2,18.71,74.52
4/30/19,0.28,73.72,147.45,109.58,138.59,176.2,19.8,74.52
4/30/19,0.23,73.77,150.8,111.33,139.93,173.85,19.8,74.6
4/30/19,0.23,73.77,150.8,111.33,139.93,173.85,19.8,74.6
4/30/19,0.23,73.77,150.8,111.33,139.93,173.85,19.8,74.6
4/30/19,0.23,73.77,150.8,111.33,139.93,173.85,19.8,74.6
5/1/19,0.27,73.71,148.81,139.15,83.06,84.98,75.66,23.44
5/1/19,0.27,73.71,148.81,139.15,83.06,83.9,75.7,23.44
5/1/19,0.24,73.78,151.53,138.22,83.06,84.91,75.57,25.45
5/1/19,0.24,73.78,151.53,138.22,83.06,85.54,218.57,25.45
5/2/19,0.28,73.87,149.23,130.69,83.05,84.88,75.68,26.96
5/2/19,0.23,73.82,151.44,125.83,83.03,45.55,40.35,30.43
5/2/19,0.23,73.82,151.44,125.83,83.02,85.75,78.88,30.53
5/3/19,0.28,73.8,148.99,132.56,83.06,84.95,75.58,25.67
5/3/19,0.28,73.8,148.99,132.56,83.06,85.55,78.83,25.67
5/3/19,0.28,73.8,148.99,132.56,83.05,85.57,78.85,26.96
5/3/19,0.23,73.89,151.25,129.65,83.03,84.77,75.47,29.31
5/3/19,0.23,73.89,151.25,129.65,83.04,85.58,78.88,29.31
5/3/19,0.23,73.89,151.25,129.65,83.03,85.68,78.79,30.43
5/4/19,0.28,73.73,148.65,165.68,83.38,86.78,40.35,51.97
5/4/19,0.28,73.73,148.65,165.68,83.37,86.78,40.35,52.63
5/4/19,0.23,73.44,151.14,167.05,83.42,86.62,41.43,52.97
5/4/19,0.23,73.44,151.14,167.05,83.39,87.31,41.43,55.76
5/5/19,0.28,73.77,153.38,165.81,83.38,86.67,40.35,50.97
5/5/19,0.28,73.77,153.38,165.81,83.38,86.98,40.35,51.47
5/5/19,0.23,74.02,155.15,159.68,83.29,85.82,40.06,58.41
5/5/19,0.23,74.02,155.15,159.68,83.29,77.02,39.15,60.37
5/6/19,0.28,73.79,163.57,172.96,83.51,85.89,41.49,50.97
5/6/19,0.23,73.82,166.88,169.88,83.47,90.24,41.46,51.97
5/6/19,0.23,73.82,166.88,169.88,83.45,86.92,41.46,52.63
5/6/19,0.28,73.79,163.57,172.96,83.52,85.75,41.49,83.8
5/7/19,0.22,73.85,166.46,140.43,83.08,84.9,75.66,23.4
5/7/19,0.22,73.85,166.46,140.43,83.07,83.13,241.17,23.4
5/7/19,0.29,73.75,161.75,135.09,83.06,85.02,75.68,25.5
5/7/19,0.29,73.75,161.75,135.09,83.06,85.55,78.81,25.5
5/8/19,0.23,73.88,164.18,152.35,83.13,19.8,19.8,21.82
5/8/19,0.23,73.88,164.18,152.35,83.13,19.8,19.8,21.85
5/8/19,0.23,73.88,164.18,152.35,83.13,85.03,75.66,21.85
5/8/19,0.23,73.88,164.18,152.35,83.1,19.8,19.8,22.1
5/8/19,0.23,73.88,164.18,152.35,83.11,85.02,75.62,22.1
5/8/19,0.23,73.88,164.18,152.35,83.1,53.19,48.33,22.34
5/8/19,0.23,73.88,164.18,152.35,83.09,85.19,75.53,22.34
5/8/19,0.29,73.77,164.42,154.2,83.18,88.06,37.91,40.49
5/8/19,0.29,73.77,164.42,154.2,83.24,85.57,37.91,40.49
5/8/19,0.23,73.88,164.18,152.35,83.14,85.81,37.24,48.42
5/8/19,0.29,73.77,164.42,154.2,83.14,85.55,37.88,59.39
5/8/19,0.29,73.77,164.42,154.2,83.16,85.55,37.88,59.39
5/8/19,0.29,73.77,164.42,154.2,83.24,77.02,39.15,61.61
5/8/19,0.29,73.77,164.42,154.2,83.24,85.57,39.15,68.26
5/8/19,0.29,73.77,164.42,154.2,83.17,88.06,37.91,73.15
5/8/19,0.29,73.77,164.42,154.2,83.17,85.55,37.88,245.55
5/9/19,0.28,73.76,164.02,122.8,83.02,85.24,75.65,30.53
5/9/19,0.23,73.81,165.4,121.03,82.98,47.47,42.91,31.53
5/9/19,0.28,73.76,164.02,122.8,83.01,85.79,78.79,31.53
5/9/19,0.23,73.81,165.4,121.03,82.98,85.81,78.81,31.81
5/10/19,0.23,73.8,162.35,150.84,83.09,85.63,75.08,22.98
5/10/19,0.27,73.75,162.64,149.2,83.09,77.02,78.86,22.98
5/11/19,0.23,73.81,162.44,166.44,83.39,86.68,41.43,58.41
5/12/19,0.23,73.8,163.47,169.92,83.48,88,41.46,51.47
5/13/19,0.23,73.79,163.33,162.38,83.32,87.16,40.06,52.97
5/13/19,0.28,73.76,163.31,161.85,83.32,85.82,40.06,55.76
5/15/19,0.3,73.79,165.03,175.41,83.53,87.16,42.27,54.54
5/15/19,0.26,73.8,165.61,174.19,83.53,85.58,41.49,62.72
5/16/19,0.25,73.93,163.42,167.53,87.47,85.55,37.24,55.25
5/17/19,0.31,74.4,164.76,151.53,82.75,19.8,57.69,87.93
5/17/19,0.26,74.49,163.75,153.52,82.76,19.8,58.33,87.93
5/18/19,0.26,74.36,164.36,155.63,83.05,175.82,39.15,83.11
5/18/19,0.3,74.27,163.49,159.78,82.86,19.8,59.04,87.93
5/21/19,0.3,74.19,166.19,203.75,86.58,85.81,36.48,48.42
5/21/19,0.3,74.19,166.19,203.75,86.58,85.94,36.48,54.15
5/21/19,0.3,74.19,166.19,203.75,86.58,85.9,36.48,55.25
5/21/19,0.25,74.25,164.15,209.21,86.37,85.9,35.76,66.86
5/21/19,0.25,74.25,164.15,209.21,86.37,88.41,35.76,93.67
5/21/19,0.25,74.25,164.15,209.21,86.37,88.41,35.76,93.67
5/22/19,0.31,73.53,164.85,130.56,83.75,86.13,19.8,50.96
5/22/19,0.25,74.14,164.69,128.39,84.16,85.86,19.8,55.02
5/23/19,0.3,74.01,163.37,117.8,83.51,86.58,19.8,53.99
5/23/19,0.26,74.07,163.37,116.2,82.89,63.62,42.37,87.93
5/24/19,0.25,73.39,165.05,150.41,83.06,19.8,52.39,82.65
5/24/19,0.3,74.05,165.65,149.14,82.81,19.8,57.12,87.93
5/25/19,0.31,74.1,165.39,131.55,81.87,73.79,45.15,88.1
5/25/19,0.3,74.2,166.38,140.28,82.48,74.18,47.47,88.1
5/26/19,0.27,74.13,165.47,147.88,19.8,47.47,19.8,82.37
5/26/19,0.31,74.1,164.88,152.39,83.03,19.8,53.93,83.23
5/27/19,0.31,71.52,165.28,106.51,82.94,73.3,44.84,87.93
5/27/19,0.25,71.56,166.74,108.13,81.77,19.8,0,88.1
5/28/19,0.25,74.21,166.76,153.15,83.06,50.69,37.24,82.65
5/28/19,0.3,74.19,164.07,154.6,82.9,71.1,42.91,87.93
5/29/19,0.25,74.16,166.78,161.85,82.98,19.8,54.25,86.05
5/29/19,0.3,74.1,163.53,163.92,82.93,72.13,44.67,87.93
5/30/19,0.26,74.17,163.05,155.76,83.13,96.32,19.8,81.96
5/30/19,0.3,74.1,164.74,156.77,83.08,19.8,50.63,82.38
5/31/19,0.25,74.13,166.08,157.08,83.11,174.17,19.8,82.12
5/31/19,0.3,74.09,163.3,155.41,83.06,172.15,36.48,82.53
6/1/19,0.25,74.14,166.71,106.39,95.54,85.94,37.24,54.15
6/1/19,0.3,74.08,163.93,107.82,80.4,84,75.65,110
6/2/19,0.25,74.45,164.94,136.1,118.42,86.78,78.1,59.78
6/2/19,0.3,74.46,160.4,132.93,117.51,83.1,76.23,59.92
6/5/19,0.24,74.15,134.22,161.49,83.32,86.83,19.8,57.88
6/5/19,0.3,74.09,155.99,166.74,83.29,86.68,19.8,60.44
6/6/19,0.3,74.11,158.37,129.47,83.63,86.13,19.8,53.99
6/6/19,0.24,74.14,156.19,127.64,83.47,86.76,19.8,66.55
6/7/19,0.24,74.17,162.01,163.1,83.24,86.68,19.8,56.17
6/7/19,0.3,74.17,165.12,167.2,83.29,86.83,19.8,63.14
6/8/19,0.24,74.12,163.09,197.52,82.56,74.18,47.6,88.1
6/8/19,0.31,74.1,166.49,164,82.64,0.83,48.33,88.1
6/9/19,0.31,73.62,163.74,159.78,78.01,174.5,75.65,116.25
6/9/19,0.24,74.13,163.67,161.53,77.99,83.9,75.07,135.91
6/10/19,0.3,74.16,164.17,155.25,83.02,170.63,40.35,85.95
