Date,SOURCE-SITE,microbox-gist-2,microbox-um-1,microbox-chula-1,microbox-ucsy-1,microbox-itb-1,microbox-monash-1
7/12/2019,Visibility-Center-GIST,935,296,47.9,24.8,251,308
7/13/2019,Visibility-Center-GIST,935,110,89.2,22.8,282,108
4/3/2020,Visibility-Center-GIST,914,74.7,83.4,28.7,171,188
4/4/2020,Visibility-Center-GIST,912,120,93.8,26.8,98.9,200
4/5/2020,Visibility-Center-GIST,930,254,75.6,23.2,243,231
4/6/2020,Visibility-Center-GIST,897,260,35.2,28.3,178,110
4/7/2020,Visibility-Center-GIST,932,186,85.6,23.1,252,158
4/8/2020,Visibility-Center-GIST,927,292,73.7,30.6,104,191
4/9/2020,Visibility-Center-GIST,930,185,85.7,28.6,129,97.5
4/10/2020,Visibility-Center-GIST,934,211,92.6,29,152,185
4/11/2020,Visibility-Center-GIST,931,85.4,93.8,26,107,221
4/12/2020,Visibility-Center-GIST,942,218,48.2,30.5,106,180
4/13/2020,Visibility-Center-GIST,942,207,93.7,27.2,161,237
4/14/2020,Visibility-Center-GIST,942,144,93,31.1,218,127
4/15/2020,Visibility-Center-GIST,937,244,62.7,30.7,164,185
4/16/2020,Visibility-Center-GIST,941,145,87.4,24.8,149,158
4/17/2020,Visibility-Center-GIST,942,142,76.8,24.8,249,169
4/18/2020,Visibility-Center-GIST,940,304,65.2,31,277,114
4/19/2020,Visibility-Center-GIST,935,213,89.6,31.3,186,284
4/20/2020,Visibility-Center-GIST,941,188,93.5,31.2,281,200
4/21/2020,Visibility-Center-GIST,928,218,48.8,24.2,244,169
4/22/2020,Visibility-Center-GIST,942,208,14.4,21,97.8,229
4/23/2020,Visibility-Center-GIST,941,150,89,28.7,161,126
4/24/2020,Visibility-Center-GIST,941,256,93.8,27.6,219,119
4/25/2020,Visibility-Center-GIST,940,221,86.7,30.8,118,112
4/27/2020,Visibility-Center-GIST,941,110,48.4,21.2,269,213
4/28/2020,Visibility-Center-GIST,941,304,93.7,27.3,229,259
4/29/2020,Visibility-Center-GIST,940,301,79.2,30.9,253,279
4/30/2020,Visibility-Center-GIST,939,175,93.8,28.5,274,306
5/1/2020,Visibility-Center-GIST,941,269,93.7,23.9,164,102
5/2/2020,Visibility-Center-GIST,932,179,89.2,1.74,261,233
5/3/2020,Visibility-Center-GIST,940,180,93.7,29.7,273,200
5/4/2020,Visibility-Center-GIST,941,218,93.1,21.8,160,122
5/5/2020,Visibility-Center-GIST,941,287,93.7,28.6,264,293
5/6/2020,Visibility-Center-GIST,941,297,81.8,30.2,272,296
5/7/2020,Visibility-Center-GIST,921,51,93.2,30.9,276,290
5/8/2020,Visibility-Center-GIST,941,196,67.1,25,236,242
5/9/2020,Visibility-Center-GIST,941,169,81.1,1.39,161,163
5/10/2020,Visibility-Center-GIST,941,294,93.6,18.7,180,291
5/11/2020,Visibility-Center-GIST,940,256,93,30.8,270,265
5/12/2020,Visibility-Center-GIST,936,296,91.9,21.4,246,159
5/13/2020,Visibility-Center-GIST,936,124,93.7,30.1,180,263
5/14/2020,Visibility-Center-GIST,940,177,89.5,30.3,216,186
5/15/2020,Visibility-Center-GIST,931,140,92.8,23.7,174,145
5/16/2020,Visibility-Center-GIST,926,291,93.1,25.9,264,293
5/17/2020,Visibility-Center-GIST,936,282,30.8,86.9,227,294
5/18/2020,Visibility-Center-GIST,931,291,69.3,2.17,268,268
5/19/2020,Visibility-Center-GIST,939,258,4.37,4.78,233,293
5/20/2020,Visibility-Center-GIST,931,281,130,29,268,295
5/21/2020,Visibility-Center-GIST,926,254,93.4,20.4,205,242
5/22/2020,Visibility-Center-GIST,927,193,93.8,30.9,268,277
5/23/2020,Visibility-Center-GIST,920,276,93.4,25.5,273,284
5/24/2020,Visibility-Center-GIST,936,287,93.7,19.7,111,273
5/25/2020,Visibility-Center-GIST,904,250,92.4,29.3,230,183
5/26/2020,Visibility-Center-GIST,927,215,93.7,23.9,265,252
5/27/2020,Visibility-Center-GIST,932,281,85.8,24,242,290
5/28/2020,Visibility-Center-GIST,923,247,91.6,24,254,263
5/29/2020,Visibility-Center-GIST,936,298,93.7,24.6,62.3,295
5/30/2020,Visibility-Center-GIST,928,293,93.8,28.4,275,225
5/31/2020,Visibility-Center-GIST,938,147,93.2,26.5,237,97
6/1/2020,Visibility-Center-GIST,933,198,92.6,29.6,226,233
6/2/2020,Visibility-Center-GIST,915,134,13.9,30.4,60.3,143
6/3/2020,Visibility-Center-GIST,923,173,93.4,26.2,212,182
6/4/2020,Visibility-Center-GIST,932,218,93.2,25.6,140,289
6/5/2020,Visibility-Center-GIST,933,262,89.9,29.8,160,263
6/6/2020,Visibility-Center-GIST,929,94.1,73.1,18.8,164,289
6/7/2020,Visibility-Center-GIST,924,261,65.15714286,24.9,226,295
6/8/2020,Visibility-Center-GIST,934,252,93.3,29.5,239,215
6/9/2020,Visibility-Center-GIST,917,29.5,34.3,29.1,24.3,30.4
6/10/2020,Visibility-Center-GIST,932,41.4,31.3,21.6,29.6,51
6/11/2020,Visibility-Center-GIST,923,26.5,32.4,14.9,37.8,51.7
6/12/2020,Visibility-Center-GIST,938,24.5,10.7,21.1,42.5,26.6
6/13/2020,Visibility-Center-GIST,938,51.1,36.3,22.2,55,16.8
