Date,SOURCE-SITE,microbox-gist-2,microbox-um-1,microbox-chula-1,microbox-ucsy-1,microbox-itb-1,microbox-monash-1
3/9/08,Visibility-Center-GIST,922.125,185.2125,77.775,26.5125,182.2375,160.4375
3/10/08,Visibility-Center-GIST,922,197.8375,78.2,27.2875,165.9875,170.0625
3/11/08,Visibility-Center-GIST,924.125,199.175,79.5,26.95,157.9875,174.1875
3/12/08,Visibility-Center-GIST,927.875,211.425,73.8,27.4125,158.875,171.6875
3/13/08,Visibility-Center-GIST,929.375,205.55,76.0625,27.9125,148.625,172.4375
3/14/08,Visibility-Center-GIST,935,191.05,83.2875,28.2625,153.625,174.5625
3/15/08,Visibility-Center-GIST,935.625,198.3,80.425,29.2125,142.625,177.9375
3/16/08,Visibility-Center-GIST,937.375,179.925,82.1375,28.4875,148.25,173.8125
3/17/08,Visibility-Center-GIST,938.875,174.55,81.025,28.0125,163.25,182.75
3/18/08,Visibility-Center-GIST,939.625,186.175,77.6,28.2625,178.875,173.875
3/19/08,Visibility-Center-GIST,940.125,202.125,77.075,28.925,188.75,181.75
3/20/08,Visibility-Center-GIST,940,198.375,82.7375,29.0125,210.625,184.25
3/21/08,Visibility-Center-GIST,938.25,199.75,77.125,28.6375,221,175.75
3/22/08,Visibility-Center-GIST,938.25,207.75,67.3,27.375,205.975,188.5
3/23/08,Visibility-Center-GIST,938.75,196,70.5875,27.125,205.6,181.125
3/24/08,Visibility-Center-GIST,938.75,209.875,71.3875,27.475,214.35,176.25
3/25/08,Visibility-Center-GIST,938.5,219.75,72.625,28.225,197.975,169.125
3/26/08,Visibility-Center-GIST,938.625,195.5,70.525,27,196.975,181.5
3/27/08,Visibility-Center-GIST,939.375,206.875,71.0375,26.5,202.35,178.375
3/28/08,Visibility-Center-GIST,939.25,221,69.25,26.4625,198.85,188.25
3/29/08,Visibility-Center-GIST,940.625,215.625,74.875,27,202.6,205.375
3/30/08,Visibility-Center-GIST,940.5,223.25,84.7875,27.3625,210.875,189.5
3/31/08,Visibility-Center-GIST,939.375,226.875,84.8125,23.9925,223.375,202.875
4/1/08,Visibility-Center-GIST,939.25,217.375,84.8,24.255,230.125,213
4/2/08,Visibility-Center-GIST,939.375,217,85.6,23.13,235.375,214.25
4/3/08,Visibility-Center-GIST,939.375,239.125,91.2625,24.055,234.75,224.25
4/4/08,Visibility-Center-GIST,939.375,238.25,89.775,24.4175,240.125,228.875
4/5/08,Visibility-Center-GIST,937,207,91.525,24.4175,243,230.25
4/6/08,Visibility-Center-GIST,937.25,209.625,88.1875,23.98,238.25,222.25
4/7/08,Visibility-Center-GIST,937.25,197.125,86.6125,21.16625,237.875,229.875
4/8/08,Visibility-Center-GIST,938.375,211.5,87.1625,23.28625,227.75,237.125
4/9/08,Visibility-Center-GIST,938.375,221,87.075,23.42375,227.375,245.25
4/10/08,Visibility-Center-GIST,937.75,230.75,86.925,23.37375,238.125,249.875
4/11/08,Visibility-Center-GIST,937.125,210.375,86.925,23.56125,227.625,246.125
4/12/08,Visibility-Center-GIST,937,195.375,87.8875,23.57375,220.625,232.375
4/13/08,Visibility-Center-GIST,938.25,206.5,87.8375,22.67375,207.875,214.25
4/14/08,Visibility-Center-GIST,936.375,218.375,91.0875,22.78625,211.375,220.625
4/15/08,Visibility-Center-GIST,935.75,232.5,84.8,33.475,219.625,237
4/16/08,Visibility-Center-GIST,934.5,232.125,81.7625,31.40875,230.625,234.125
4/17/08,Visibility-Center-GIST,934.375,232.375,70.68375,28.15625,226,237.625
4/18/08,Visibility-Center-GIST,933.75,230.5,75.44625,29.10625,228.75,254.625
4/19/08,Visibility-Center-GIST,932.5,246.75,75.40875,27.89375,231.875,252
4/20/08,Visibility-Center-GIST,930.875,248.75,75.94625,27.96875,238.375,263.375
4/21/08,Visibility-Center-GIST,929.5,265.75,76.02125,28.19375,250.75,280.75
4/22/08,Visibility-Center-GIST,930.75,265.25,76.09625,27.41875,231.625,278.25
