Date,SOURCE-SITE,microbox-gist-2,microbox-um-1,microbox-chula-1,microbox-ucsy-1,microbox-itb-1,microbox-monash-1
7/12/2019,Visibility-Center-GIST,935,296,47.9,24.8,251,308
7/13/2019,Visibility-Center-GIST,935,110,89.2,22.8,282,108
4/3/2020,Visibility-Center-GIST,914,74.7,83.4,28.7,171,188
4/4/2020,Visibility-Center-GIST,912,120,93.8,26.8,98.9,200
4/5/2020,Visibility-Center-GIST,930,254,75.6,23.2,243,231
4/6/2020,Visibility-Center-GIST,897,260,35.2,25.76666667,203.9833333,190.8333333
4/7/2020,Visibility-Center-GIST,932,185.8142857,72.95714286,25.38571429,210.8428571,186.1428571
4/8/2020,Visibility-Center-GIST,927,185.2428571,76.64285714,26.21428571,189.8428571,169.4285714
4/9/2020,Visibility-Center-GIST,930,195.9571429,76.14285714,27.04285714,167.9857143,167.9285714
4/10/2020,Visibility-Center-GIST,934,215.4285714,77.45714286,27.08571429,165.2714286,167.5
4/11/2020,Visibility-Center-GIST,931,210.4857143,77.45714286,26.97142857,166.4285714,170.5
4/12/2020,Visibility-Center-GIST,942,205.3428571,73.54285714,28.01428571,146.8571429,163.2142857
4/13/2020,Visibility-Center-GIST,942,197.7714286,81.9,27.85714286,144.4285714,181.3571429
4/14/2020,Visibility-Center-GIST,942,191.7714286,82.95714286,29,139.5714286,176.9285714
4/15/2020,Visibility-Center-GIST,937,184.9142857,81.38571429,29.01428571,148.1428571,176.0714286
4/16/2020,Visibility-Center-GIST,941,179.2,81.62857143,28.47142857,151,184.7142857
4/17/2020,Visibility-Center-GIST,942,169.3428571,79.37142857,27.87142857,164.8571429,182.4285714
4/18/2020,Visibility-Center-GIST,940,200.5714286,75.28571429,28.58571429,189.1428571,167.1428571
4/19/2020,Visibility-Center-GIST,935,199.8571429,81.2,28.7,200.5714286,182
4/20/2020,Visibility-Center-GIST,941,197.1428571,81.17142857,29.27142857,217.7142857,176.7142857
4/21/2020,Visibility-Center-GIST,928,207.7142857,74.85714286,28.28571429,221.4285714,182.7142857
4/22/2020,Visibility-Center-GIST,942,202.5714286,67.95714286,26.9,211.9714286,189
4/23/2020,Visibility-Center-GIST,941,203.2857143,68.18571429,27.45714286,213.6857143,184.4285714
4/24/2020,Visibility-Center-GIST,941,219.5714286,70.61428571,27.85714286,209.4,177.2857143
4/25/2020,Visibility-Center-GIST,940,207.7142857,73.68571429,27.82857143,186.6857143,177
4/27/2020,Visibility-Center-GIST,941,193,67.8,26.38571429,198.5428571,166.8571429
4/28/2020,Visibility-Center-GIST,941,209.5714286,67.82857143,25.82857143,191.1142857,175.2857143
4/29/2020,Visibility-Center-GIST,940,221.4285714,72.17142857,26.78571429,192.4,191
4/30/2020,Visibility-Center-GIST,939,216.7142857,83.51428571,27.85714286,217.5714286,202
5/1/2020,Visibility-Center-GIST,941,233.7142857,84.18571429,27.17142857,218,198.5714286
5/2/2020,Visibility-Center-GIST,932,222.7142857,83.52857143,23.47714286,224,214.8571429
5/3/2020,Visibility-Center-GIST,940,216.8571429,84.52857143,23.32,246.1428571,227.4285714
5/4/2020,Visibility-Center-GIST,941,232.2857143,90.91428571,23.40571429,230.5714286,214.4285714
5/5/2020,Visibility-Center-GIST,941,229.8571429,90.91428571,23.59142857,235.5714286,219.2857143
5/6/2020,Visibility-Center-GIST,941,229.2857143,91.28571429,23.49142857,238.2857143,221.7142857
5/7/2020,Visibility-Center-GIST,921,211.5714286,91.2,23.83428571,238.5714286,219.4285714
5/8/2020,Visibility-Center-GIST,941,201.1428571,87.4,23.99142857,248.8571429,239.4285714
5/9/2020,Visibility-Center-GIST,941,199.7142857,86.24285714,23.94142857,234.5714286,229.4285714
5/10/2020,Visibility-Center-GIST,941,216,86.22857143,22.37,221.2857143,242.4285714
5/11/2020,Visibility-Center-GIST,940,221.4285714,86.21428571,23.65571429,237,262.8571429
5/12/2020,Visibility-Center-GIST,936,222.7142857,85.95714286,22.62714286,234.4285714,243.7142857
5/13/2020,Visibility-Center-GIST,936,198,87.65714286,22.61285714,221.2857143,239
5/14/2020,Visibility-Center-GIST,940,216,87.12857143,22.52714286,212.7142857,224.1428571
5/15/2020,Visibility-Center-GIST,931,208,90.8,22.34142857,203.8571429,210.2857143
5/16/2020,Visibility-Center-GIST,926,225.4285714,92.51428571,25.84285714,218.5714286,228.8571429
5/17/2020,Visibility-Center-GIST,936,223.7142857,83.54285714,35.58571429,225.2857143,229.2857143
5/18/2020,Visibility-Center-GIST,931,228.7142857,80.15714286,31.49571429,225,229.7142857
5/19/2020,Visibility-Center-GIST,939,223.2857143,67.65285714,29.12142857,223.1428571,248.8571429
5/20/2020,Visibility-Center-GIST,931,245.7142857,72.83857143,28.96428571,235.7142857,253.4285714
5/21/2020,Visibility-Center-GIST,926,256.7142857,73.39571429,27.55,234.1428571,261.4285714
5/22/2020,Visibility-Center-GIST,927,264.2857143,73.53857143,28.57857143,247.5714286,280.2857143
5/23/2020,Visibility-Center-GIST,920,262.1428571,73.58142857,28.52142857,248.8571429,279
5/24/2020,Visibility-Center-GIST,936,262.8571429,82.56714286,18.92142857,232.2857143,276
5/25/2020,Visibility-Center-GIST,904,257,85.86714286,22.79714286,226.8571429,263.8571429
5/26/2020,Visibility-Center-GIST,927,250.8571429,98.62857143,25.52857143,231.4285714,258
