Date,Site ID,Division,Site Name,Purchase Capacity (Mbps),Delay(msec),Jitter(ms),Packet Loss(),Avg(out) mb/sbit/s,Avg(in) mb/sbit/s,Peak Throughput (Mbps) ,Utilization
01-Nov-18,BBSDR01,Chittagong,Armypara,500,5,2 ,0,226.9658203,35.75683594,375.1835938,0.750367188
01-Nov-18,BMNNG05,Chittagong,Kunda 25m land,345,2.5903,1.2716 ,0,110.8447266,21.08398438,172.5107422,0.500031137
01-Nov-18,CGBAK17,Chittagong,River City,100,5.4594,1.6046 ,0,0,0,58.59570313,0.585957031
01-Nov-18,CGBLK11,Chittagong,Hazihat,1000,5.6885,1.3602 ,0,371.9140625,96.86621094,699.0732422,0.699073242
01-Nov-18,CGDMG19,Chittagong,North Goshaildanga,100,5,2 ,0,32.64160156,5.905273438,57.58496094,0.575849609
01-Nov-18,CGDMG41,Chittagong,Haddi Shah Majar,100,5,2 ,0,35.3984375,6.303710938,68.04980469,0.680498047
01-Nov-18,CGDMG72,Chittagong,Maa O Sishu Hospital,100,5,1 ,0,8.810546875,1.841796875,19.85546875,0.198554688
01-Nov-18,CGDMGB4,Chittagong,"Beparipara, South Agrabad",400,5,2 ,0,7.622070313,1.122070313,16.33789063,0.040844727
01-Nov-18,CGFTK29,Chittagong,Azimnagar,200,7,1 ,0,115.9550781,24.17480469,206.3574219,1.031787109
01-Nov-18,CGFTK36,Chittagong,Chikonchara,500,5,2 ,0,74.69433594,15.11914063,140.5615234,0.281123047
01-Nov-18,CGFTK57,Chittagong,Heakow Bazar2,100,6,1 ,0,51.61914063,10.25585938,91.96972656,0.919697266
01-Nov-18,CGHTZ02,Chittagong,Nozumiar_Hat,100,5.616,1.3869 ,0,63.50585938,13.05859375,103.2460938,1.032460938
01-Nov-18,CGHTZ24,Chittagong,Charia,100,7,2 ,0,58.11230469,11.99707031,103.34375,1.0334375
01-Nov-18,CGHTZ33,Chittagong,Shikarpur,400,5,2 ,0,145.1513672,28.90234375,248.7734375,0.621933594
01-Nov-18,CGHTZ69,Chittagong,Fotehabad,200,7,2 ,0,76.07226563,16.0703125,163.0859375,0.815429688
01-Nov-18,CGHTZ79,Chittagong,Fatehpur_Hathazari,300,7,2 ,0,55.29882813,11.23242188,105.8339844,0.352779948
01-Nov-18,CGHTZ81,Chittagong,CT3398,1000,6,1 ,0,62.84472656,11.39941406,137.1416016,0.137141602
01-Nov-18,CGLHG09,Chittagong,Dorbesh_hat__Lohagora,400,7,2 ,0,128.8193359,27.00097656,198.4580078,0.49614502
01-Nov-18,CGLHG27,Chittagong,Shukchari 25m Land,300,7,2 ,0,8.038085938,0.993164063,21.59667969,0.071988932
01-Nov-18,CGLHG32,Chittagong,Lohagara4,200,7,2 ,0,48.48242188,9.071289063,90.04492188,0.450224609
01-Nov-18,CGMIR09,Chittagong,"Jorarganj, Mirersarai",100,4,2 ,0,43.16210938,8.780273438,85.14355469,0.851435547
01-Nov-18,CGMIR26,Chittagong,Shekher Taluk,100,5,2 ,0,69.96679688,16.96386719,104.6503906,1.046503906
01-Nov-18,CGMIR46,Chittagong,Jorarganj2,200,4,3 ,0,16.70996094,1.874023438,37.31933594,0.18659668
01-Nov-18,CGMIR58,Chittagong,Paschim Hinguli,400,4,3 ,0,68.94921875,13.56347656,133.8740234,0.334685059
