Date,Site ID,Division,Site Name,Purchase Capacity (Mbps),Delay(msec),Jitter(ms),Packet Loss(),Avg(out) mb/sbit/s,Avg(in) mb/sbit/s,Peak Throughput (Mbps) ,Utilization
1-Nov-18,JPDWG02,Mymensingh,Katharbill 25m Land,230,7,2 ,0,62.31347656,24.05566406,132.8740234,0.577713145
1-Nov-18,JPMLN03,Mymensingh,Hajrabari bazar,260,7,2 ,0,83.33984375,18.37304688,157.8515625,0.607121394
1-Nov-18,JPSDR04,Mymensingh,Nandina 55m land,450,7,2 ,0,81.921875,16.79199219,139.5478516,0.310106337
1-Nov-18,JPSDR14,Mymensingh,Ghoradhap 32m Land,230,6,2 ,0,69.47167969,14.18261719,134.7460938,0.585852582
1-Nov-18,JPSSB02,Mymensingh,Simla Bazar,250,7,2 ,0,102.8505859,21.10253906,203.4326172,0.813730469
1-Nov-18,MYFLP04,Mymensingh,Bowla 25m land,220,6,2 ,0,64.08203125,12.11132813,129.7939453,0.589972479
1-Nov-18,MYFLP05,Mymensingh,Chandhara Bazar 25m lan,260,6,2 ,0.0004,76.62304688,13.57128906,161.5078125,0.621183894
1-Nov-18,MYGFG03,Mymensingh,Kandipara bazar land,220,5,2 ,0.04,75.6484375,17.21386719,157.3349609,0.715158913
1-Nov-18,MYISG02,Mymensingh,Ishwarganj 55m,350,6,2 ,0,139.7255859,28.86816406,256.7158203,0.733473772
1-Nov-18,MYNND02,Mymensingh,Musulli 55m,330,6.9934,1.7868 ,0,122.1494141,23.52734375,229.1533203,0.694404001
1-Nov-18,MYNND04,Mymensingh,Madarinagar land,250,6.2417,2.0937 ,0,116.9667969,25.67480469,236.7919922,0.947167969
1-Nov-18,MYSDR18,Mymensingh,Biddaganj Bazar 25m,280,6,2 ,0,41.83203125,7.439453125,93.71777344,0.334706334
1-Nov-18,MYTRL04,Mymensingh,Kashiganj Land,350,6.0635,1.9977 ,0,176.4775391,36.40527344,334.4814453,0.955661272
1-Nov-18,NKATP01,Mymensingh,Atpara 55m,335,6,2 ,0,118.6210938,23.17871094,236.6455078,0.706404501
1-Nov-18,NKKND01,Mymensingh,Kendua,200,4.441,1.2385 ,0.000104,52.96679688,9.250976563,100.0380859,0.50019043
1-Nov-18,NKMDN01,Mymensingh,Madan,230,6.7056,1.6066 ,0,12.17285156,2.5859375,38.62109375,0.167917799
1-Nov-18,NKPBD01,Mymensingh,Jaria land 55m,390,6.059,1.8471 ,0,115.2792969,23.0859375,249.9326172,0.640852865
1-Nov-18,SRJNG02,Mymensingh,Jhinaigati land 55m,230,7,2 ,0,37.20507813,6.7578125,81.66992188,0.355086617
1-Nov-18,SRSDR07,Mymensingh,Kamarer Char 32m Land,260,6,2 ,0,70.06347656,14.39355469,160.8603516,0.61869366
1-Nov-18,TNSDR56,Mymensingh,Gharinda_Tangail Sadar,100,3,1 ,0,24.71289063,3.842773438,53.52734375,0.535273438
2-Nov-18,JPDWG02,Mymensingh,Katharbill 25m Land,230,6,2 ,0,53.84082031,0.052578926,121.2480469,0.527165421
2-Nov-18,JPMLN03,Mymensingh,Hajrabari bazar,260,6,2 ,0,81.77441406,0.079857826,148.8046875,0.572325721
2-Nov-18,JPSDR04,Mymensingh,Nandina 55m land,450,6,2 ,0.0004,79.81542969,0.077944756,133.6875,0.297083333
2-Nov-18,JPSDR14,Mymensingh,Ghoradhap 32m Land,230,5,2 ,0,68.57324219,0.066966057,136.2734375,0.592493207
2-Nov-18,JPSSB02,Mymensingh,Simla Bazar,250,6,2 ,0,90.16894531,0.088055611,175.1083984,0.700433594
2-Nov-18,MYFLP04,Mymensingh,Bowla 25m land,220,5,2 ,0,62.63378906,0.06116581,120.0957031,0.54588956
2-Nov-18,MYFLP05,Mymensingh,Chandhara Bazar 25m lan,260,5,2 ,0.0004,75.41992188,0.073652267,164.7158203,0.633522386
2-Nov-18,MYGFG03,Mymensingh,Kandipara bazar land,220,5,2 ,0,82.23535156,0.080307961,152.5859375,0.693572443
2-Nov-18,MYISG02,Mymensingh,Ishwarganj 55m,350,5,2 ,0,138.8652344,0.13561058,270.6923828,0.773406808
2-Nov-18,MYNND02,Mymensingh,Musulli 55m,330,6.0757,1.7238 ,0,113.5166016,0.110856056,206.8701172,0.626879143
2-Nov-18,MYNND04,Mymensingh,Madarinagar land,250,5.2417,1.8147 ,0,112.1347656,0.109506607,201.4804688,0.805921875
2-Nov-18,MYSDR18,Mymensingh,Biddaganj Bazar 25m,280,5,2 ,0,38.7109375,0.03780365,94.41015625,0.337179129
2-Nov-18,MYTRL04,Mymensingh,Kashiganj Land,350,4.9031,1.8589 ,0,37.5234375,0.036643982,320.4912109,0.915689174
2-Nov-18,NKATP01,Mymensingh,Atpara 55m,335,6,2 ,0,111.6972656,0.109079361,217.5117188,0.649288713
2-Nov-18,NKKND01,Mymensingh,Kendua,200,3.8281,1.3240 ,0,44.83691406,0.043786049,90.02246094,0.450112305
2-Nov-18,NKMDN01,Mymensingh,Madan,230,5.6556,1.6097 ,0,11.00390625,0.010746002,26.90429688,0.116975204
2-Nov-18,NKPBD01,Mymensingh,Jaria land 55m,390,5.4,1.7537 ,0,110.1699219,0.107587814,209.4072266,0.536941607
2-Nov-18,SRJNG02,Mymensingh,Jhinaigati land 55m,230,6,2 ,0,33.15820313,0.032381058,75.44824219,0.328035836
2-Nov-18,SRSDR07,Mymensingh,Kamarer Char 32m Land,260,6,2 ,0,68.9609375,0.067344666,136.5429688,0.525165264
2-Nov-18,TNSDR56,Mymensingh,Gharinda_Tangail Sadar,100,4,2 ,0.0004,22.046875,0.021530151,50.85449219,0.508544922
3-Nov-18,JPDWG02,Mymensingh,Katharbill 25m Land,230,6,2 ,0,55.45898438,20.33789063,103.4638672,0.449842901
3-Nov-18,JPMLN03,Mymensingh,Hajrabari bazar,260,5,1 ,0.0004,75.36328125,19.48242188,146.0927734,0.561895282
3-Nov-18,JPSDR04,Mymensingh,Nandina 55m land,450,7,2 ,0,76.77050781,16.70410156,144.7451172,0.321655816
3-Nov-18,JPSDR14,Mymensingh,Ghoradhap 32m Land,230,5,1 ,0,64.31054688,13.49414063,143.0722656,0.622053329
3-Nov-18,JPSSB02,Mymensingh,Simla Bazar,250,6,2 ,0,85.64550781,19.1875,179.7597656,0.719039063
3-Nov-18,MYFLP04,Mymensingh,Bowla 25m land,220,5,2 ,0.0004,56.00097656,11.05957031,118.2695313,0.537588778
3-Nov-18,MYFLP05,Mymensingh,Chandhara Bazar 25m lan,260,6,1 ,0.0004,69.99316406,13.24316406,143.5605469,0.55215595
3-Nov-18,MYGFG03,Mymensingh,Kandipara bazar land,220,4,2 ,0,83.65039063,19.27050781,156.0039063,0.709108665
3-Nov-18,MYISG02,Mymensingh,Ishwarganj 55m,350,5,2 ,0,134.6259766,28.24414063,235.0664063,0.671618304
3-Nov-18,MYNND02,Mymensingh,Musulli 55m,330,5.91,1.4943 ,0,109.4453125,21.59179688,209.1894531,0.633907434
3-Nov-18,MYNND04,Mymensingh,Madarinagar land,250,5.2656,1.6804 ,0,110.5517578,25.84863281,193.7226563,0.774890625
3-Nov-18,MYSDR18,Mymensingh,Biddaganj Bazar 25m,280,5,2 ,0,37.39550781,7.579101563,84.06738281,0.300240653
