Date,Site ID,Division,Site Name,Purchase Capacity (Mbps),Delay(msec),Jitter(ms),Packet Loss(),Avg(out) mb/sbit/s,Avg(in) mb/sbit/s,Peak Throughput (Mbps) ,Utilization
1-Nov-18,DHGUL60,Dhaka,Hotel Swiss Park_IBS,100,1,2 ,0.001,0.172851563,0.047851563,0.364257813,0.003642578
1-Nov-18,DHDHN47,Dhaka,IBS_Sheltech Tower/Technoline,100,1,1 ,0.001,0.751953125,0.129882813,6.622070313,0.066220703
1-Nov-18,Maizdi_WIC-Pubail,Dhaka,Maizdi_WIC-Pubail,8,4,1 ,0.001,0.036132813,0.013671875,0.840820313,0.105102539
1-Nov-18,DHUTK15,Dhaka,UTTAR KHAN MAZAR ROAD_UTTARA_Reloc_Airtel,500,2,2 ,0.001,21.57324219,2.303710938,55.35644531,0.110712891
1-Nov-18,DHRMN24,Dhaka,Rajmoni Ishakha_IBS,100,1,1 ,0.001,0.495117188,0.114257813,11.47167969,0.114716797
1-Nov-18,FPSDR05,Dhaka,Khabashpur,400,7,1 ,0.001,25.84570313,4.444335938,62.53125,0.156328125
1-Nov-18,DHTIA50,Dhaka,Lichu Bazar_Reloc_GP,100,4,7 ,0.001,18.79394531,3.090820313,52.17675781,0.521767578
1-Nov-18,FPNGR02,Dhaka,Talma Land,200,8,2 ,0.001,79.00976563,14.84570313,137.5439453,0.687719727
1-Nov-18,NSMND05,Dhaka,Chalakchar 42m land,200,6.6487,2.3496 ,0.038528,101.0039063,23.17382813,226.1025391,1.130512695
1-Nov-18,DHADB05,Dhaka,Baitul_Aman,100,3.047,7.8219 ,0.014162,2.69921875,0.599609375,8.602539063,0.086025391
1-Nov-18,DHADB12,Dhaka,Adabor 2,100,2.1897,2.1693 ,0.012891,3.959960938,0.8671875,18.38378906,0.183837891
1-Nov-18,DHADB02,Dhaka,Adabor,300,4.4594,8.2307 ,0.012821,19.60253906,3.482421875,54.26855469,0.180895182
1-Nov-18,DHTEJ20,Dhaka,Lucas goli,100,3.7101,8.9394 ,0.002709,8.482421875,1.553710938,49.69726563,0.496972656
1-Nov-18,DHTIA03,Dhaka,Shahinbagh,300,3.9531,9.3113 ,0.002646,11.61425781,1.9765625,41.37988281,0.137932943
1-Nov-18,Laksham_WIC-Pubail,Dhaka,Laksham_WIC-Pubail,8,4.1327,1.0904 ,0.00149,0.032226563,0.015625,0.692382813,0.086547852
1-Nov-18,DHMDP09,Dhaka,Mohammadpur Krishi Market,200,1,1.2909 ,0.000372,16.27832031,3.549804688,40.11035156,0.200551758
1-Nov-18,DHSBG13,Dhaka,"TSC, DU",100,3.8592,9.6279 ,0.000255,4.46484375,1.23046875,15.49609375,0.154960938
1-Nov-18,DHGUL78,Dhaka,DNS Group and Muslim Aid IBS,100,3.5352,8.7957 ,0.000251,1.497070313,0.243164063,5.236328125,0.052363281
